epoch,lr-AdamW,step,train_loss,val_loss
,0.0005,0,,
0,,49,0.13881295919418335,
0,,99,0.03837230056524277,
0,,149,0.1635822057723999,
0,,150,,0.071543388068676
,0.0004995076687428538,151,,
1,,199,0.09141862392425537,
1,,249,0.08325204253196716,
1,,299,0.07811429351568222,
1,,301,,0.07109406590461731
,0.0004980326179779622,302,,
2,,349,0.12343599647283554,
2,,399,0.1117064505815506,
2,,449,0.06099960207939148,
2,,452,,0.07004597038030624
,0.0004955806690568078,453,,
3,,499,0.11461490392684937,
3,,549,0.0638744980096817,
3,,599,0.12035628408193588,
3,,603,,0.06627517193555832
,0.0004921614987015933,604,,
4,,649,0.09553514420986176,
4,,699,0.06554847955703735,
4,,749,0.0924253985285759,
4,,754,,0.0637279599905014
,0.00048778860081564074,755,,
5,,799,0.08429393172264099,
5,,849,0.08708100765943527,
5,,899,0.09869231283664703,
5,,905,,0.06617812067270279
,0.00048247923322911865,906,,
6,,949,0.05768713355064392,
6,,999,0.0950758084654808,
6,,1049,0.0853625163435936,
6,,1056,,0.06771723181009293
,0.00047625434959027184,1057,,
7,,1099,0.0503971129655838,
7,,1149,0.08845184743404388,
7,,1199,0.10930541157722473,
7,,1207,,0.06392808258533478
,0.0004691385166709439,1208,,
8,,1249,0.08942162245512009,
8,,1299,0.05950047820806503,
8,,1349,0.07106434553861618,
8,,1358,,0.06719724088907242
,0.0004611598174127527,1359,,
9,,1399,0.08839644491672516,
9,,1449,0.1081736609339714,
9,,1499,0.04592111334204674,
9,,1509,,0.06406669318675995
,0.0004523497400965493,1510,,
10,,1549,0.09224571287631989,
10,,1599,0.07430686056613922,
10,,1649,0.05570431798696518,
10,,1660,,0.06667142361402512
,0.00044274305407255936,1661,,
11,,1699,0.05916457623243332,
11,,1749,0.06398316472768784,
11,,1799,0.07233883440494537,
11,,1811,,0.06572466343641281
,0.0004323776725416421,1812,,
12,,1849,0.08517970144748688,
12,,1899,0.09400473535060883,
12,,1949,0.06265606731176376,
12,,1962,,0.06494765728712082
,0.0004212945029292078,1963,,
13,,1999,0.08534543216228485,
13,,2049,0.0702618882060051,
13,,2099,0.07504746317863464,
13,,2113,,0.06660168617963791
,0.000409537285442298,2114,,
14,,2149,0.034938812255859375,
14,,2199,0.09307950735092163,
14,,2249,0.04969765990972519,
14,,2264,,0.06961725652217865
