epoch,lr-AdamW,step,train_loss,val_loss
,0.0005,0,,
0,,49,0.11632984131574631,
0,,99,0.09212332963943481,
0,,149,0.06469132006168365,
0,,150,,0.08336392045021057
,0.0004995076687428538,151,,
1,,199,0.09115814417600632,
1,,249,0.08793088048696518,
1,,299,0.11539395898580551,
1,,301,,0.08130255341529846
,0.0004980326179779622,302,,
2,,349,0.10507973283529282,
2,,399,0.09235771745443344,
2,,449,0.11136629432439804,
2,,452,,0.08209410309791565
,0.0004955806690568078,453,,
3,,499,0.09536468982696533,
3,,549,0.06924837827682495,
3,,599,0.1344190239906311,
3,,603,,0.08076074719429016
,0.0004921614987015933,604,,
4,,649,0.026316022500395775,
4,,699,0.10818801820278168,
4,,749,0.062352292239665985,
4,,754,,0.07868016511201859
,0.00048778860081564074,755,,
5,,799,0.027936182916164398,
5,,849,0.08478201925754547,
5,,899,0.10304306447505951,
5,,905,,0.07997959107160568
,0.00048247923322911865,906,,
6,,949,0.06741031259298325,
6,,999,0.09291541576385498,
6,,1049,0.042401671409606934,
6,,1056,,0.08068898320198059
,0.00047625434959027184,1057,,
7,,1099,0.1618553251028061,
7,,1149,0.047001343220472336,
7,,1199,0.1677829623222351,
7,,1207,,0.08139527589082718
,0.0004691385166709439,1208,,
8,,1249,0.09512557089328766,
8,,1299,0.0789402574300766,
8,,1349,0.1086457222700119,
8,,1358,,0.07908444851636887
,0.0004611598174127527,1359,,
9,,1399,0.08573615550994873,
9,,1449,0.08859680593013763,
9,,1499,0.07305030524730682,
9,,1509,,0.08048707246780396
,0.0004523497400965493,1510,,
10,,1549,0.0991135835647583,
10,,1599,0.0462060384452343,
10,,1649,0.10028819739818573,
10,,1660,,0.08257966488599777
,0.00044274305407255936,1661,,
11,,1699,0.16712437570095062,
11,,1749,0.08784507215023041,
11,,1799,0.04308237135410309,
11,,1811,,0.08222664892673492
,0.0004323776725416421,1812,,
12,,1849,0.0649726614356041,
12,,1899,0.0745103508234024,
12,,1949,0.07113831490278244,
12,,1962,,0.07867499440908432
,0.0004212945029292078,1963,,
13,,1999,0.1572614163160324,
13,,2049,0.049898337572813034,
13,,2099,0.12431357800960541,
13,,2113,,0.07706849277019501
,0.000409537285442298,2114,,
14,,2149,0.10116788744926453,
14,,2199,0.16808685660362244,
14,,2249,0.13963548839092255,
14,,2264,,0.0794902816414833
,0.00039715242044697206,2265,,
15,,2299,0.08012689650058746,
15,,2349,0.0870225578546524,
15,,2399,0.07675547152757645,
15,,2415,,0.07729507237672806
,0.0003841887853472596,2416,,
16,,2449,0.06350591033697128,
16,,2499,0.15701457858085632,
16,,2549,0.04204215854406357,
16,,2566,,0.0813329815864563
,0.00037069754168837793,2567,,
17,,2599,0.06948500126600266,
17,,2649,0.06342887133359909,
17,,2699,0.07549774646759033,
17,,2717,,0.07657356560230255
,0.0003567319332454856,2718,,
18,,2749,0.1065809577703476,
18,,2799,0.08330968022346497,
18,,2849,0.0698150172829628,
18,,2868,,0.07997720688581467
,0.00034234707589482716,2869,,
19,,2899,0.11522873491048813,
19,,2949,0.04432284086942673,
19,,2999,0.07363563776016235,
19,,3019,,0.08028905093669891
,0.00032759974009654934,3020,,
20,,3049,0.10081416368484497,
20,,3099,0.06066706031560898,
20,,3149,0.07195550203323364,
20,,3170,,0.07687501609325409
,0.0003125481268476312,3171,,
21,,3199,0.07177859544754028,
21,,3249,0.04780195653438568,
21,,3299,0.13828466832637787,
21,,3321,,0.07648833841085434
,0.0002972516379891383,3322,,
22,,3349,0.07402516156435013,
22,,3399,0.09689967334270477,
22,,3449,0.07483763247728348,
22,,3472,,0.08330580592155457
,0.00028177064177429395,3473,,
23,,3499,0.07944242656230927,
23,,3549,0.09905477613210678,
23,,3599,0.16660553216934204,
23,,3623,,0.07599800825119019
,0.0002661662346225637,3624,,
24,,3649,0.07748070359230042,
24,,3699,0.06390222907066345,
24,,3749,0.11265748739242554,
24,,3774,,0.07820919156074524
,0.0002505,3775,,
25,,3799,0.1332760751247406,
25,,3849,0.0938330739736557,
25,,3899,0.08520104736089706,
25,,3925,,0.07900325208902359
,0.0002348337653774363,3926,,
26,,3949,0.12328498065471649,
26,,3999,0.08506327867507935,
26,,4049,0.11179429292678833,
26,,4076,,0.07687712460756302
,0.00021922935822570608,4077,,
27,,4099,0.10866604745388031,
27,,4149,0.11670327186584473,
27,,4199,0.1772821843624115,
27,,4227,,0.07706377655267715
,0.00020374836201086168,4228,,
28,,4249,0.09717603772878647,
28,,4299,0.06859559565782547,
28,,4349,0.06459535658359528,
28,,4378,,0.07746380567550659
,0.0001884518731523687,4379,,
29,,4399,0.05405919998884201,
29,,4449,0.07570739090442657,
29,,4499,0.047691963613033295,
29,,4529,,0.07788321375846863
,0.0001734002599034507,4530,,
30,,4549,0.07932433485984802,
30,,4599,0.08891783654689789,
30,,4649,0.05091380327939987,
30,,4680,,0.08593884855508804
,0.0001586529241051729,4681,,
31,,4699,0.09626317024230957,
31,,4749,0.08067668229341507,
31,,4799,0.03900660574436188,
31,,4831,,0.0816432312130928
,0.00014426806675451435,4832,,
32,,4849,0.05359139293432236,
32,,4899,0.08138590306043625,
32,,4949,0.11618144810199738,
32,,4982,,0.0840681716799736
,0.00013030245831162197,4983,,
33,,4999,0.05061620473861694,
33,,5049,0.05507818982005119,
33,,5099,0.056716568768024445,
33,,5133,,0.08053763955831528
